amount,visits,channel,segment,fraud
217.59,6,web,business,0
185.4,14,web,consumer,0
249.03,23,web,consumer,0
152.33,29,mobile,business,0
208.05,2,web,consumer,1
193.35,26,mobile,business,0
,4,mobile,business,0
,1,store,consumer,0
353.0,15,web,consumer,0
289.92,3,store,business,0
289.8,21,web,consumer,0
77.63,11,mobile,consumer,0
179.58,18,web,consumer,0
163.48,23,mobile,consumer,0
231.96,2,store,consumer,0
63.26,24,mobile,consumer,0
270.47,8,web,business,0
264.02,4,web,consumer,1
121.88,21,store,business,0
141.29,16,mobile,consumer,0
151.93,11,mobile,consumer,0
202.6,4,web,consumer,0
238.46,6,store,business,1
322.87,14,store,consumer,0
188.15,1,mobile,business,0
246.05,21,store,business,0
209.33,8,store,consumer,0
305.6,8,mobile,consumer,0
244.53,27,web,consumer,0
282.11,10,mobile,business,0
135.34,2,web,consumer,0
188.47,19,store,consumer,0
151.17,17,mobile,consumer,0
290.3,29,,consumer,0
239.46,27,mobile,consumer,0
181.69,2,store,consumer,1
172.85,21,web,consumer,0
229.08,5,store,consumer,1
157.91,9,web,consumer,0
144.16,13,store,consumer,0
228.88,19,web,consumer,0
347.79,12,web,consumer,0
185.23,4,mobile,consumer,0
166.65,6,store,business,0
129.73,15,store,consumer,0
,13,store,business,0
231.5,8,store,consumer,0
,22,web,consumer,0
200.55,26,mobile,business,0
219.95,11,web,business,1
206.95,26,store,consumer,0
208.32,23,web,business,0
,23,store,consumer,0
,4,store,consumer,1
206.69,11,web,consumer,0
153.01,26,web,consumer,0
171.41,24,web,consumer,0
150.85,9,web,business,0
179.99,29,store,consumer,1
251.19,9,mobile,consumer,0
175.61,11,store,business,0
190.77,21,store,business,0
248.82,16,mobile,consumer,0
238.69,16,store,business,0
301.71,5,store,business,0
74.57,6,web,consumer,0
251.41,4,mobile,consumer,1
,25,store,business,0
208.08,21,mobile,consumer,0
250.26,12,web,consumer,1
,2,web,consumer,1
262.36,25,web,consumer,0
209.31,18,mobile,business,0
,2,store,consumer,1
183.02,4,,business,1
191.54,9,,consumer,0
247.96,20,web,consumer,0
166.92,21,mobile,business,0
329.65,22,web,business,0
,3,store,consumer,0
330.53,28,web,business,0
198.4,6,store,consumer,0
177.01,12,mobile,consumer,0
210.02,13,store,consumer,0
244.07,12,mobile,business,0
164.75,9,store,consumer,0
222.78,12,mobile,consumer,0
198.99,16,store,consumer,0
296.94,21,store,consumer,0
160.24,25,store,consumer,0
262.77,23,store,business,0
161.37,15,mobile,consumer,0
142.36,4,mobile,consumer,0
157.38,8,store,consumer,0
128.59,10,mobile,consumer,0
208.78,18,mobile,business,0
261.88,2,mobile,consumer,0
209.86,19,web,business,1
237.46,7,web,consumer,0
297.93,12,mobile,consumer,0
216.2,22,web,consumer,0
,27,mobile,consumer,0
,28,mobile,business,0
103.51,7,web,consumer,0
245.58,29,web,business,0
94.61,15,,consumer,0
239.16,2,mobile,consumer,0
199.14,21,store,consumer,0
,12,mobile,business,0
195.93,20,web,consumer,0
150.61,26,mobile,consumer,1
221.47,7,web,consumer,0
166.39,15,web,business,0
189.14,26,store,consumer,1
202.51,11,web,business,0
191.93,3,store,consumer,0
,23,web,consumer,0
150.05,16,mobile,business,0
188.65,26,,consumer,0
,15,mobile,consumer,0
190.56,5,store,consumer,0
128.12,20,web,consumer,1
267.22,15,web,consumer,0
,22,mobile,consumer,0
82.94,5,web,consumer,0
208.7,7,store,consumer,0
192.42,6,web,business,0
137.2,27,mobile,business,0
231.9,16,mobile,business,0
172.3,10,web,business,0
93.94,8,web,consumer,0
184.0,13,mobile,business,0
191.1,24,store,consumer,0
206.39,18,store,consumer,1
126.13,11,web,consumer,0
236.94,14,store,consumer,0
244.13,6,mobile,business,0
131.25,13,web,consumer,0
160.47,19,mobile,consumer,0
195.18,15,mobile,consumer,0
166.04,8,,business,1
304.63,4,web,consumer,0
212.5,2,store,consumer,0
139.37,1,web,consumer,0
152.71,29,store,consumer,1
196.55,29,store,business,0
337.75,6,mobile,business,0
189.3,27,mobile,consumer,0
207.65,4,web,consumer,0
230.84,10,,consumer,0
197.59,14,web,consumer,0
336.84,21,store,consumer,0
168.11,1,store,consumer,1
244.65,11,store,consumer,0
209.63,23,mobile,consumer,0
237.27,21,web,consumer,0
129.4,3,mobile,business,0
306.09,17,mobile,consumer,1
192.71,2,web,business,0
202.05,18,store,consumer,0
143.9,29,mobile,consumer,0
,8,store,business,0
,15,mobile,consumer,0
259.19,4,web,business,0
245.2,27,store,consumer,0
272.54,13,store,business,0
242.87,27,web,consumer,0
201.71,24,mobile,consumer,0
250.19,22,mobile,consumer,0
235.62,18,web,consumer,0
193.97,1,,consumer,1
243.56,20,,business,0
277.14,19,mobile,consumer,0
214.07,26,mobile,business,0
178.63,2,mobile,consumer,0
243.12,15,web,business,0
314.04,1,mobile,business,0
187.37,6,mobile,consumer,0
194.46,25,web,consumer,1
191.82,18,mobile,business,0
273.38,9,web,business,0
89.77,18,store,business,1
221.95,22,store,business,0
271.54,15,mobile,business,0
151.2,16,store,consumer,0
289.34,27,web,consumer,0
232.12,23,web,consumer,0
167.06,24,web,consumer,1
212.25,19,store,consumer,0
107.93,26,store,business,0
166.07,29,store,consumer,0
309.61,25,mobile,business,0
146.37,14,store,consumer,0
310.67,14,store,consumer,1
195.11,25,web,consumer,0
259.68,5,web,consumer,0
,24,web,consumer,0
65.51,7,web,business,1
165.64,18,store,consumer,0
211.39,26,web,consumer,0
,15,web,consumer,0
119.16,5,store,consumer,0
221.97,13,store,consumer,0
,20,store,consumer,0
98.25,19,mobile,business,0
158.95,1,web,business,1
251.64,6,store,consumer,0
171.58,27,web,consumer,0
256.09,13,web,consumer,0
291.64,11,store,consumer,0
201.95,19,store,consumer,1
132.22,24,store,consumer,0
121.91,9,store,business,0
198.42,14,,business,0
252.86,7,web,consumer,0
,4,web,consumer,1
232.84,4,store,consumer,0
173.4,14,mobile,business,0
218.03,24,web,consumer,0
171.72,4,store,business,0
180.46,26,store,consumer,0
122.47,2,store,consumer,0
105.67,25,mobile,business,1
171.08,9,mobile,business,0
133.54,21,store,consumer,0
142.48,12,store,business,0
240.26,18,store,consumer,0
193.58,3,store,business,1
374.85,2,web,consumer,1
255.58,3,store,consumer,0
162.01,26,store,business,0
246.68,1,web,consumer,1
,14,web,business,0
158.86,15,,business,0
266.16,20,web,consumer,1
,6,store,consumer,1
16.5,4,mobile,consumer,0
247.64,1,web,consumer,0
162.96,22,web,consumer,0
289.16,11,store,business,0
161.02,5,mobile,consumer,0
129.12,5,store,consumer,0
292.91,28,,consumer,1
135.47,5,web,consumer,0
212.2,21,mobile,consumer,0
286.98,17,mobile,consumer,0
,16,store,business,1
195.16,6,web,business,1
206.15,19,store,consumer,0
250.34,2,,business,0
151.59,7,,consumer,0
236.64,5,store,consumer,0
234.62,15,web,consumer,0
339.96,5,web,consumer,0
179.81,3,mobile,consumer,1
145.11,13,mobile,business,0
244.14,9,mobile,consumer,0
176.17,13,store,consumer,0
217.35,9,store,consumer,0
207.95,8,store,business,0
,5,mobile,consumer,1
160.59,13,mobile,business,0
194.46,13,mobile,consumer,0
46.87,15,mobile,consumer,0
146.59,2,web,business,0
,15,mobile,consumer,0
159.11,1,,consumer,0
157.91,3,web,consumer,0
126.93,10,mobile,consumer,0
,22,mobile,business,0
210.68,29,web,consumer,0
128.79,3,mobile,consumer,0
240.05,22,web,consumer,0
,25,web,business,0
245.24,13,web,consumer,0
161.51,28,mobile,business,0
304.28,6,mobile,consumer,0
224.59,2,web,business,0
192.99,4,mobile,consumer,0
168.87,5,mobile,business,0
185.31,13,web,consumer,0
251.53,29,,business,0
183.86,19,,consumer,0
264.69,13,mobile,consumer,0
234.84,24,mobile,business,0
280.79,9,,business,0
248.85,14,mobile,consumer,0
196.22,28,mobile,consumer,0
85.44,25,store,business,0
217.91,18,web,consumer,0
247.34,24,web,consumer,0
209.77,14,store,consumer,0
,25,web,consumer,0
171.7,18,web,business,1
177.17,10,store,consumer,0
143.46,2,web,business,0
281.71,14,mobile,business,0
209.5,24,store,consumer,0
170.45,5,store,consumer,0
