tenure_months,monthly_charge,support_calls,plan,contract,churned
10,67.26,2,basic,monthly,1
61,62.16,1,basic,monthly,0
61,68.17,0,plus,monthly,0
35,56.51,0,basic,monthly,0
68,54.69,1,premium,monthly,0
44,,0,basic,yearly,0
65,69.26,0,basic,yearly,0
69,116.14,2,premium,yearly,0
41,119.51,2,basic,monthly,0
20,103.05,3,basic,monthly,1
11,87.65,0,plus,monthly,1
40,53.09,2,basic,yearly,0
14,106.07,3,premium,yearly,0
54,68.6,0,basic,yearly,0
66,68.28,3,premium,yearly,0
18,62.72,2,basic,monthly,1
40,72.3,1,premium,yearly,0
4,59.12,1,basic,yearly,1
13,67.91,1,premium,monthly,0
27,42.89,0,basic,yearly,0
63,60.66,2,basic,yearly,0
69,127.01,1,plus,yearly,0
46,68.26,3,plus,yearly,0
42,64.03,4,plus,monthly,1
41,83.31,3,plus,yearly,0
5,87.7,1,basic,monthly,1
27,42.16,1,basic,monthly,1
70,64.82,0,plus,yearly,0
30,92.96,1,plus,yearly,0
16,76.75,1,plus,yearly,0
18,73.05,1,basic,yearly,0
51,,2,premium,yearly,0
3,53.06,2,basic,yearly,0
69,72.07,4,premium,monthly,0
63,57.0,0,basic,monthly,0
41,107.26,2,plus,monthly,0
34,21.2,0,premium,yearly,0
55,53.25,1,basic,yearly,0
39,56.77,2,plus,yearly,1
34,86.59,0,basic,monthly,0
23,85.16,1,basic,yearly,0
32,104.88,2,basic,yearly,0
54,30.65,2,plus,monthly,0
4,88.76,3,basic,yearly,0
2,62.67,1,premium,monthly,1
52,53.36,1,basic,monthly,0
27,83.49,2,basic,monthly,0
58,47.0,0,basic,monthly,0
3,18.08,0,basic,monthly,1
65,60.74,1,basic,monthly,0
9,32.56,1,basic,yearly,1
30,53.78,0,basic,monthly,0
69,79.29,3,basic,yearly,1
8,77.8,1,plus,monthly,0
47,109.67,0,basic,yearly,0
52,65.01,1,plus,monthly,0
31,31.67,0,basic,yearly,0
6,51.1,2,basic,monthly,1
38,47.02,0,basic,monthly,0
31,39.55,2,basic,yearly,0
62,80.88,5,premium,yearly,0
49,53.87,1,basic,monthly,1
25,20.57,1,basic,monthly,0
5,87.42,0,basic,yearly,0
42,67.21,1,premium,monthly,0
20,78.92,4,plus,monthly,1
49,72.64,3,plus,monthly,1
62,85.79,1,premium,monthly,0
26,70.95,1,basic,monthly,0
65,100.91,1,plus,yearly,0
37,80.62,0,basic,monthly,0
38,79.8,1,plus,yearly,0
55,80.25,2,basic,yearly,0
57,33.58,1,plus,monthly,0
65,,2,basic,yearly,0
71,63.52,0,basic,monthly,0
11,75.19,2,plus,monthly,1
30,36.03,1,premium,monthly,0
67,110.85,0,basic,monthly,0
22,72.61,2,basic,yearly,0
1,39.72,2,basic,monthly,0
41,27.28,3,plus,yearly,0
54,62.97,3,premium,monthly,0
53,67.76,2,basic,yearly,0
58,52.04,1,basic,monthly,1
46,72.3,0,basic,monthly,0
10,53.97,3,premium,yearly,1
61,83.79,0,basic,yearly,0
30,51.89,3,basic,monthly,0
61,69.04,4,plus,monthly,1
58,94.47,1,premium,monthly,0
69,134.29,3,plus,yearly,1
2,44.81,0,basic,monthly,1
62,58.39,4,basic,yearly,0
45,49.0,2,plus,yearly,0
35,89.61,1,premium,yearly,0
57,41.3,1,plus,monthly,1
68,57.89,0,basic,monthly,0
37,69.26,1,basic,yearly,0
7,45.53,2,plus,monthly,0
52,46.07,1,plus,monthly,0
17,58.11,3,plus,monthly,1
17,17.49,3,premium,monthly,1
14,33.86,3,premium,yearly,0
15,59.67,0,premium,yearly,0
65,73.71,4,plus,monthly,0
26,65.36,4,basic,yearly,0
8,25.65,0,basic,monthly,0
13,58.41,2,basic,monthly,0
29,89.96,2,plus,monthly,0
25,83.9,2,plus,monthly,1
23,68.03,0,premium,monthly,0
68,47.82,2,premium,yearly,0
62,85.78,0,basic,monthly,0
41,55.53,1,basic,monthly,0
71,40.77,3,basic,monthly,1
25,49.95,0,plus,yearly,0
10,106.21,5,premium,monthly,1
20,75.5,1,plus,monthly,0
7,98.98,1,basic,monthly,1
68,58.02,1,basic,monthly,0
16,93.45,0,premium,monthly,0
32,54.96,1,premium,yearly,0
15,66.06,3,plus,yearly,0
70,132.16,1,basic,monthly,0
12,89.18,3,basic,monthly,1
37,57.47,0,plus,monthly,0
68,67.88,4,premium,monthly,0
38,78.16,1,basic,monthly,0
64,100.26,2,basic,monthly,0
64,57.77,1,basic,yearly,0
55,26.47,2,basic,monthly,0
53,63.01,3,basic,yearly,0
41,70.38,0,premium,yearly,0
42,72.74,4,plus,monthly,1
60,102.92,3,basic,monthly,1
31,77.92,1,basic,monthly,1
68,90.32,3,basic,yearly,0
63,42.47,0,plus,yearly,0
27,91.7,0,basic,yearly,0
30,122.41,1,basic,monthly,0
51,89.32,0,plus,monthly,0
66,76.34,1,premium,yearly,0
7,73.85,5,basic,monthly,1
5,114.68,0,premium,monthly,1
18,46.82,1,basic,yearly,0
31,67.22,1,basic,monthly,0
12,81.51,1,premium,monthly,0
37,88.6,1,premium,monthly,0
39,59.07,3,basic,yearly,0
68,77.68,0,plus,monthly,0
53,63.05,5,plus,yearly,1
18,73.01,1,basic,yearly,0
56,66.7,1,plus,yearly,0
58,41.46,3,plus,yearly,1
49,69.47,5,basic,monthly,0
49,91.93,0,basic,yearly,0
23,45.82,1,plus,monthly,0
51,63.97,1,plus,yearly,0
10,86.62,1,plus,yearly,0
45,43.25,0,plus,monthly,0
66,74.57,0,basic,yearly,0
69,43.5,1,basic,monthly,0
22,98.37,3,basic,monthly,1
24,127.82,2,plus,monthly,1
44,120.56,2,basic,monthly,0
29,64.52,1,premium,monthly,1
52,88.5,0,premium,yearly,0
15,73.02,2,basic,monthly,0
12,72.55,1,basic,monthly,0
4,108.69,2,basic,yearly,1
34,37.02,0,plus,monthly,0
16,96.38,1,premium,monthly,0
22,68.78,1,plus,yearly,0
65,105.21,0,basic,monthly,1
58,74.68,0,plus,monthly,0
60,,2,basic,yearly,0
43,76.93,2,plus,monthly,0
8,88.4,0,basic,monthly,1
54,70.89,3,plus,monthly,1
43,82.2,0,basic,monthly,0
65,56.96,0,plus,yearly,0
35,,0,plus,yearly,0
13,92.5,1,plus,yearly,0
43,87.48,1,plus,monthly,0
33,73.7,1,basic,monthly,0
47,71.71,2,plus,monthly,0
27,,3,plus,monthly,0
22,58.57,1,plus,monthly,0
9,52.34,2,basic,yearly,0
69,65.29,0,basic,monthly,0
54,99.73,2,premium,monthly,0
34,35.32,3,premium,yearly,0
17,99.8,1,premium,monthly,1
45,54.02,0,basic,yearly,0
30,,2,premium,monthly,0
46,101.5,3,premium,yearly,0
7,67.58,0,plus,monthly,0
14,37.49,4,premium,monthly,0
53,,1,premium,yearly,0
5,93.28,0,basic,yearly,1
49,99.8,1,basic,monthly,1
30,59.32,0,basic,monthly,0
1,80.16,0,plus,monthly,0
55,,1,plus,monthly,0
50,53.88,1,plus,monthly,1
58,78.88,0,premium,monthly,0
64,69.2,3,premium,yearly,0
52,56.6,3,basic,monthly,0
60,57.7,0,basic,monthly,0
9,71.68,1,premium,monthly,0
66,70.75,1,plus,monthly,0
65,55.86,2,basic,yearly,0
50,59.35,1,plus,monthly,0
57,97.83,2,basic,monthly,0
53,75.35,5,plus,monthly,1
63,92.13,2,premium,monthly,0
64,100.05,2,basic,yearly,0
38,84.72,3,premium,monthly,0
58,126.77,2,basic,monthly,0
66,49.37,2,premium,yearly,0
22,,1,premium,monthly,0
4,62.05,1,basic,monthly,0
13,116.39,2,plus,yearly,0
3,112.51,0,premium,yearly,1
31,21.14,0,basic,monthly,0
2,45.78,1,plus,monthly,1
19,86.61,1,basic,monthly,0
18,,0,basic,yearly,0
51,88.41,0,basic,monthly,0
18,68.23,1,basic,monthly,1
68,81.38,2,premium,monthly,0
14,86.33,0,basic,monthly,0
69,68.05,2,basic,yearly,0
41,95.68,1,basic,monthly,0
18,15.0,4,plus,monthly,1
3,85.84,2,premium,monthly,0
22,44.15,1,plus,monthly,0
42,93.97,2,premium,monthly,0
8,64.28,3,basic,monthly,0
12,47.78,2,plus,yearly,0
9,79.35,2,basic,monthly,1
49,47.22,0,premium,yearly,0
7,47.18,0,plus,monthly,1
2,30.82,2,basic,monthly,0
33,69.33,0,premium,monthly,0
23,82.42,2,plus,yearly,0
41,95.58,4,basic,monthly,0
67,66.46,0,basic,monthly,0
61,96.2,2,premium,yearly,0
39,70.45,1,plus,monthly,0
46,67.67,1,premium,monthly,0
58,84.34,1,basic,monthly,0
32,96.46,0,plus,yearly,0
47,61.46,2,basic,monthly,0
16,63.91,2,plus,yearly,0
44,65.98,2,plus,monthly,0
17,72.07,2,premium,monthly,0
14,47.49,1,premium,yearly,0
55,95.7,1,basic,monthly,0
41,59.99,0,premium,monthly,0
27,81.56,3,basic,monthly,0
3,49.36,0,basic,monthly,1
17,78.97,1,basic,yearly,0
57,79.79,2,basic,monthly,1
34,59.48,2,plus,monthly,0
69,120.52,5,plus,monthly,0
64,79.28,2,basic,yearly,0
61,114.42,1,plus,monthly,0
2,93.98,0,premium,monthly,0
4,53.44,1,plus,yearly,0
42,60.45,1,plus,monthly,0
25,80.9,2,premium,monthly,0
60,71.53,2,basic,monthly,0
23,71.24,0,premium,yearly,0
11,62.84,1,basic,yearly,0
9,24.79,1,basic,yearly,1
22,64.36,1,premium,monthly,0
45,15.0,2,basic,yearly,0
9,79.3,1,basic,monthly,1
57,51.85,1,plus,yearly,0
22,52.11,1,basic,monthly,0
23,64.52,2,basic,yearly,0
48,76.82,2,basic,monthly,0
62,34.2,2,basic,monthly,0
31,26.28,0,plus,yearly,0
57,43.35,1,basic,monthly,0
22,18.96,3,basic,monthly,1
10,45.83,1,plus,yearly,1
59,109.77,3,basic,monthly,1
55,43.59,1,basic,monthly,0
54,86.29,2,premium,yearly,0
63,35.71,2,basic,monthly,0
36,77.48,1,basic,monthly,0
15,62.01,0,basic,yearly,0
42,68.5,2,basic,monthly,0
41,84.22,5,basic,yearly,1
28,113.91,2,basic,monthly,0
46,74.87,1,basic,yearly,0
19,73.11,0,basic,monthly,0
44,45.67,2,plus,monthly,0
57,84.58,0,basic,monthly,0
7,63.85,1,basic,monthly,0
33,90.8,3,basic,monthly,0
47,68.91,1,basic,monthly,0
4,113.52,0,basic,monthly,1
45,20.43,1,plus,yearly,0
65,62.59,1,premium,yearly,0
59,92.04,0,premium,monthly,0
49,61.23,2,basic,monthly,0
58,50.2,3,plus,monthly,0
26,63.35,1,plus,yearly,0
24,35.5,2,plus,monthly,0
6,,1,premium,monthly,1
52,131.01,2,basic,yearly,0
23,98.63,3,plus,monthly,1
62,42.27,2,plus,yearly,0
34,48.17,1,plus,yearly,0
64,59.88,1,plus,monthly,0
10,95.11,1,basic,monthly,1
12,49.46,2,premium,monthly,0
25,52.74,0,basic,yearly,0
2,92.12,1,basic,monthly,1
35,,1,plus,monthly,0
47,60.65,1,premium,yearly,0
47,42.06,0,basic,monthly,0
16,31.26,3,plus,yearly,0
12,52.53,1,basic,monthly,0
41,15.0,2,basic,monthly,0
45,88.75,1,basic,yearly,0
68,54.25,4,plus,monthly,1
64,82.03,3,basic,monthly,0
27,116.71,2,premium,monthly,0
12,99.32,1,basic,yearly,1
18,,1,basic,monthly,0
63,,3,basic,monthly,0
33,98.95,2,basic,monthly,0
71,51.34,2,premium,monthly,0
47,46.17,1,premium,yearly,0
43,67.26,1,premium,monthly,0
8,29.96,1,basic,monthly,1
42,106.77,0,premium,yearly,0
28,,1,basic,monthly,0
60,42.33,1,basic,yearly,0
10,63.26,1,plus,monthly,0
14,64.32,2,basic,monthly,1
48,74.15,2,basic,monthly,0
49,76.79,2,premium,yearly,0
59,64.66,3,basic,yearly,0
38,98.42,2,plus,monthly,1
27,16.52,1,basic,yearly,0
22,70.0,2,basic,monthly,0
27,52.14,2,basic,monthly,0
48,,1,basic,yearly,0
39,75.52,0,basic,monthly,1
22,47.2,3,basic,monthly,0
16,53.98,2,basic,monthly,0
51,89.81,2,basic,monthly,0
18,78.73,0,basic,monthly,0
15,52.99,1,premium,monthly,0
24,121.0,1,premium,monthly,0
61,127.73,2,plus,yearly,0
33,33.44,3,basic,yearly,1
43,77.54,3,plus,yearly,1
6,,0,plus,monthly,1
25,89.6,2,plus,monthly,0
54,75.53,0,basic,monthly,0
55,64.8,0,basic,monthly,0
42,56.47,1,basic,monthly,0
63,64.69,0,basic,monthly,0
22,56.23,0,premium,monthly,0
12,88.62,2,basic,yearly,1
6,,2,plus,monthly,1
15,58.97,2,premium,yearly,0
55,39.95,0,plus,yearly,0
65,68.76,1,basic,monthly,0
10,47.65,1,basic,yearly,1
36,65.48,1,premium,yearly,0
10,96.05,2,basic,monthly,1
60,79.15,1,basic,yearly,0
10,82.62,2,plus,monthly,1
46,78.9,2,premium,monthly,0
6,71.48,0,premium,monthly,0
53,66.82,2,plus,monthly,0
65,62.3,3,plus,yearly,1
52,88.98,0,basic,monthly,0
20,,1,basic,yearly,0
60,103.52,0,plus,monthly,0
22,70.85,2,basic,monthly,0
54,51.28,3,plus,monthly,0
60,57.77,2,basic,yearly,0
35,53.08,0,basic,monthly,0
45,74.01,1,premium,monthly,0
61,52.05,0,basic,monthly,0
14,98.55,2,plus,yearly,0
2,50.46,2,basic,yearly,1
31,15.0,0,premium,monthly,0
13,51.73,1,basic,yearly,0
63,19.79,2,plus,monthly,0
62,69.0,3,premium,monthly,0
27,96.48,0,basic,monthly,0
22,86.19,2,basic,yearly,0
51,36.56,0,basic,monthly,0
33,50.94,0,basic,yearly,0
7,,0,plus,yearly,1
48,77.96,1,plus,monthly,0
52,70.1,1,premium,monthly,0
5,96.4,0,plus,monthly,1
56,131.32,0,plus,monthly,0
38,102.41,1,basic,monthly,0
59,73.49,2,basic,monthly,0
61,,4,premium,yearly,0
48,85.43,1,premium,yearly,0
24,54.68,4,basic,yearly,0
27,43.53,1,plus,monthly,1
52,71.31,0,plus,monthly,0
5,46.32,0,basic,yearly,0
17,68.46,5,basic,yearly,0
37,72.4,1,plus,monthly,0
67,128.53,1,premium,yearly,0
54,48.72,2,premium,yearly,0
58,66.96,2,basic,monthly,0
14,65.89,1,basic,monthly,0
20,80.93,3,basic,monthly,1
19,96.17,2,basic,monthly,0
54,57.74,0,premium,monthly,0
39,49.47,1,basic,yearly,0
15,28.98,0,premium,monthly,0
54,46.84,3,basic,monthly,0
46,83.41,3,premium,yearly,0
64,71.14,1,basic,monthly,1
40,44.61,0,premium,monthly,0
9,60.68,2,plus,monthly,1
64,70.79,2,plus,monthly,0
14,82.59,2,basic,monthly,0
4,,0,basic,yearly,0
57,63.74,2,basic,monthly,0
32,24.54,1,premium,yearly,0
46,41.22,1,premium,yearly,0
10,110.44,1,plus,monthly,0
52,15.3,4,plus,yearly,1
29,61.55,3,basic,monthly,0
71,,1,premium,monthly,0
46,60.64,0,plus,monthly,1
67,,1,plus,yearly,0
57,68.47,1,premium,monthly,0
60,69.88,3,basic,monthly,0
7,67.95,1,plus,monthly,1
56,23.06,0,plus,monthly,0
43,,2,plus,yearly,0
29,48.62,2,basic,yearly,0
23,56.31,1,plus,monthly,0
46,75.67,1,premium,yearly,0
15,86.02,1,plus,monthly,0
14,92.42,2,basic,yearly,0
63,57.59,1,premium,monthly,0
54,93.1,2,basic,yearly,0
42,99.34,3,basic,monthly,1
54,98.42,1,premium,yearly,0
23,104.74,2,plus,monthly,1
52,66.36,0,basic,monthly,0
15,65.65,1,premium,monthly,0
32,90.63,2,plus,monthly,1
11,35.84,0,basic,yearly,0
27,75.24,1,basic,monthly,1
25,56.74,1,premium,yearly,0
30,60.78,2,premium,monthly,0
34,26.46,1,basic,yearly,1
3,47.74,4,plus,monthly,1
25,69.49,0,plus,monthly,0
60,92.21,2,basic,monthly,1
31,94.75,0,basic,monthly,0
39,67.99,1,basic,monthly,0
8,65.27,4,premium,monthly,0
28,49.23,2,plus,monthly,0
69,80.06,1,basic,yearly,0
39,63.81,1,premium,monthly,1
2,85.15,2,plus,monthly,0
52,113.79,3,basic,yearly,1
55,69.19,1,basic,yearly,0
28,32.57,0,basic,yearly,0
3,48.48,4,basic,yearly,1
59,,2,basic,yearly,1
18,40.07,3,basic,monthly,0
66,102.63,5,premium,yearly,1
26,75.67,3,plus,monthly,0
28,32.0,0,basic,monthly,0
57,86.34,3,premium,monthly,1
10,101.51,2,plus,monthly,1
3,61.0,0,premium,monthly,1
54,53.1,2,premium,monthly,0
66,61.57,0,plus,yearly,0
71,77.12,1,plus,monthly,0
10,86.0,2,plus,yearly,1
11,99.56,3,plus,yearly,0
25,100.31,3,premium,monthly,0
51,99.64,0,basic,monthly,0
65,104.05,1,basic,monthly,0
59,86.53,0,basic,monthly,0
27,31.73,0,premium,yearly,0
66,66.73,3,premium,yearly,0
19,77.85,0,basic,monthly,1
9,60.42,4,basic,yearly,0
31,92.78,1,basic,monthly,0
7,60.99,1,premium,yearly,1
49,46.86,3,plus,yearly,0
71,106.11,2,premium,yearly,0
8,86.65,1,plus,yearly,1
9,75.48,2,plus,monthly,1
13,93.17,0,plus,yearly,0
13,96.56,2,premium,monthly,0
38,78.53,1,premium,monthly,0
41,15.0,2,basic,monthly,0
68,53.11,2,plus,yearly,1
32,58.59,2,premium,yearly,0
66,45.39,1,plus,yearly,0
54,74.97,2,premium,monthly,0
61,99.81,0,plus,yearly,0
14,57.88,3,premium,yearly,0
33,,3,basic,monthly,0
65,120.7,1,basic,yearly,0
54,58.71,0,basic,monthly,0
16,39.18,2,basic,monthly,0
61,75.94,1,basic,monthly,1
55,80.64,2,premium,yearly,0
11,52.37,2,premium,yearly,0
5,,1,basic,yearly,1
19,57.82,0,premium,monthly,0
34,46.93,1,plus,yearly,0
11,74.46,1,premium,monthly,0
3,89.27,1,basic,monthly,1
8,54.15,1,plus,yearly,0
23,78.27,4,basic,monthly,1
28,67.66,2,basic,monthly,1
23,140.61,1,basic,monthly,1
32,52.29,1,basic,yearly,0
52,104.6,0,basic,yearly,0
18,68.69,0,basic,monthly,0
33,66.83,1,basic,monthly,1
52,88.04,1,plus,monthly,0
5,92.35,1,plus,yearly,1
67,,1,premium,monthly,0
71,78.22,2,premium,yearly,0
21,54.99,1,plus,monthly,0
64,56.56,1,basic,yearly,0
18,82.74,1,plus,yearly,0
66,,2,basic,monthly,1
47,,0,basic,monthly,0
18,80.46,1,basic,monthly,0
5,96.5,1,basic,monthly,1
28,107.92,1,plus,monthly,0
53,74.12,1,basic,monthly,1
17,32.86,1,plus,yearly,0
37,40.52,1,basic,monthly,0
9,34.05,1,basic,monthly,1
31,109.79,1,basic,monthly,0
3,48.81,1,premium,yearly,0
71,100.8,1,plus,yearly,0
36,84.64,1,basic,monthly,0
60,112.88,2,plus,monthly,1
9,95.08,2,plus,yearly,0
12,67.44,0,basic,monthly,0
13,65.0,2,basic,yearly,0
41,72.13,0,basic,monthly,0
62,74.38,4,plus,yearly,0
44,56.73,5,premium,monthly,0
35,69.18,0,basic,yearly,0
67,110.23,1,basic,monthly,1
14,27.45,3,basic,yearly,0
12,76.46,0,plus,monthly,0
48,47.33,1,basic,monthly,0
61,74.68,0,plus,monthly,0
19,91.0,0,premium,yearly,0
19,68.56,2,plus,yearly,0
38,89.32,1,plus,monthly,1
56,30.25,2,basic,monthly,0
21,97.67,2,basic,monthly,1
59,54.92,3,basic,monthly,0
37,85.56,0,plus,monthly,0
51,74.56,3,basic,monthly,1
45,15.0,2,basic,yearly,0
35,51.1,4,premium,monthly,0
39,75.51,2,premium,monthly,0
71,108.85,1,basic,monthly,0
29,77.18,3,premium,yearly,0
68,76.44,5,basic,monthly,1
57,34.68,1,basic,yearly,1
13,105.78,3,premium,yearly,1
63,115.18,0,premium,yearly,0
28,70.71,2,basic,monthly,0
13,64.51,1,plus,yearly,0
18,29.52,2,basic,monthly,0
10,92.08,1,premium,yearly,1
25,137.56,1,basic,yearly,0
9,87.93,1,basic,monthly,0
39,101.59,1,basic,yearly,1
70,83.55,1,plus,monthly,0
69,45.37,2,plus,yearly,0
67,103.42,1,premium,monthly,0
18,39.14,1,basic,yearly,0
17,64.73,1,premium,monthly,1
49,76.97,2,premium,monthly,0
69,92.07,1,plus,monthly,0
59,80.4,1,basic,yearly,0
15,79.67,2,basic,monthly,0
53,50.96,3,basic,yearly,0
36,37.77,1,basic,yearly,0
32,71.54,2,plus,monthly,0
36,52.25,4,basic,yearly,0
39,,2,basic,monthly,0
65,38.35,2,basic,yearly,0
57,57.75,0,plus,yearly,0
3,23.69,1,basic,monthly,1
55,36.31,1,plus,yearly,1
23,29.12,3,plus,monthly,0
24,74.56,0,basic,monthly,0
43,80.2,3,plus,yearly,1
70,120.18,2,basic,monthly,0
5,32.56,0,plus,monthly,1
37,53.01,1,plus,monthly,1
17,92.82,1,basic,yearly,1
65,64.58,1,basic,yearly,1
34,61.83,1,plus,monthly,0
61,112.73,2,premium,monthly,0
63,61.54,3,premium,monthly,0
8,,0,plus,yearly,0
55,37.08,0,premium,monthly,0
57,78.39,3,basic,yearly,0
59,77.63,0,premium,yearly,0
71,35.71,1,basic,monthly,0
55,45.37,2,premium,monthly,0
60,83.37,2,plus,yearly,0
51,84.43,1,basic,monthly,0
21,53.92,2,plus,monthly,1
61,85.56,0,premium,yearly,0
50,84.3,0,basic,monthly,0
49,25.42,2,plus,monthly,0
70,62.2,2,basic,monthly,0
53,80.38,1,plus,yearly,0
25,55.67,1,basic,monthly,0
22,16.53,1,plus,yearly,0
24,62.92,2,basic,monthly,0
12,88.8,1,basic,yearly,0
6,109.51,0,premium,monthly,0
54,15.23,2,basic,yearly,1
56,135.33,4,premium,monthly,1
12,41.82,2,basic,yearly,0
28,93.92,0,basic,monthly,0
66,100.85,1,premium,monthly,1
60,94.58,5,basic,yearly,0
43,73.74,0,plus,monthly,0
69,40.96,0,premium,monthly,0
24,85.66,1,premium,yearly,0
60,52.12,0,plus,monthly,0
67,15.0,0,basic,monthly,0
43,140.72,1,plus,yearly,0
12,87.7,3,basic,monthly,1
21,115.45,1,basic,monthly,1
37,47.21,0,basic,monthly,0
20,106.69,1,basic,monthly,1
7,109.75,1,basic,yearly,1
13,108.86,1,plus,yearly,1
69,69.47,2,basic,yearly,0
28,39.94,1,plus,monthly,0
41,65.57,0,basic,yearly,0
32,15.0,1,plus,yearly,0
58,27.45,0,plus,monthly,0
8,72.3,2,basic,yearly,1
21,45.22,1,plus,yearly,0
42,65.89,1,plus,yearly,0
57,67.28,1,premium,yearly,1
33,118.27,1,plus,monthly,0
50,102.44,0,premium,monthly,0
57,68.88,2,premium,monthly,1
46,100.22,1,plus,monthly,0
59,50.51,2,basic,yearly,0
68,61.58,2,basic,monthly,0
16,92.76,0,basic,monthly,0
